@ NAME             %08s "TRACKONE"
@ TYPE             %08s "TRACKONE"
@ TITLE            %08s "no-title"
@ ORIGIN           %23s "MAD-X 5.00.15 Darwin 64"
@ DATE             %08s "01/04/12"
@ TIME             %08s "18.32.06"
*     NUMBER       TURN                  X                 PX                  Y                 PY                  T                 PT                  S                  E 
$         %d         %d                %le                %le                %le                %le                %le                %le                %le                %le 
#segment       1      13      80       0 start                                           
         45          2   -0.0004439663288   -1.625632374e-05   -4.073153753e-05    7.496013254e-06                  0                  0               0.15                6.7
         50          2    0.0004418417743    1.587727266e-05     4.06475516e-05   -7.492179671e-06                  0                  0               0.15                6.7
         55          2   -0.0005325281524   -1.927362627e-05   -4.892632163e-05    8.998674422e-06                  0                  0               0.15                6.7
         60          2    0.0005294784792     1.87326112e-05    4.880556746e-05   -8.993273474e-06                  0                  0               0.15                6.7
         65          2   -0.0006209054588   -2.215256744e-05   -5.714525501e-05    1.050306717e-05                  0                  0               0.15                6.7
         70          2    0.0006167701781    2.142394216e-05    5.698120097e-05   -1.049590895e-05                  0                  0               0.15                6.7
         75          2   -0.0007090503935   -2.486693582e-05   -6.539168328e-05    1.200941355e-05                  0                  0               0.15                6.7
         80          2    0.0007036729455    2.392695428e-05    6.517788214e-05   -1.200035674e-05                  0                  0               0.15                6.7
#segment       5      13      20    2550 end                                             
          4          2    0.0005599111403   -0.0001443812033    3.836970878e-05   -7.753599554e-06                  0                  0         1195.02992                6.7
          5          2    5.871753461e-05    -1.39752914e-05    3.679107355e-06   -7.717349351e-07                  0                  0         1195.02992                6.7
          9          2   -0.0005679792546    0.0001432492943   -3.919155887e-05    7.637286783e-06                  0                  0         1195.02992                6.7
         10          2   -5.879265924e-05     1.39642544e-05   -3.687298483e-06    7.706152871e-07                  0                  0         1195.02992                6.7
         14          2    0.0009582474954   -0.0003128070703     8.80005287e-05    -1.54285454e-05                  0                  0         1195.02992                6.7
         15          2    0.0001172181558    -2.79871016e-05     7.36176813e-06    -1.54451966e-06                  0                  0         1195.02992                6.7
         19          2   -0.0009975693566    0.0003080426638   -9.126917382e-05    1.491212918e-05                  0                  0         1195.02992                6.7
         20          2   -0.0001175193311    2.794292361e-05   -7.394537032e-06    1.540035785e-06                  0                  0         1195.02992                6.7
         25          2    0.0001753590807   -4.206085113e-05    1.105973576e-05    -2.31828426e-06                  0                  0         1195.02992                6.7
         30          2   -0.0001760392291    4.196131377e-05   -1.113348183e-05    2.308175701e-06                  0                  0         1195.02992                6.7
         35          2    0.0002329961754   -5.622177791e-05    1.478478577e-05    -3.09295336e-06                  0                  0         1195.02992                6.7
         40          2   -0.0002342115863    5.604448234e-05   -1.491592888e-05    3.074933221e-06                  0                  0         1195.02992                6.7
         45          2    0.0002899836414   -7.049483635e-05     1.85487303e-05   -3.868440523e-06                  0                  0         1195.02992                6.7
         50          2   -0.0002918952753    7.021713266e-05   -1.875371631e-05    3.840184957e-06                  0                  0         1195.02992                6.7
         55          2    0.0003461736459   -8.490457715e-05    2.236343223e-05   -4.644642543e-06                  0                  0         1195.02992                6.7
         60          2   -0.0003489485218    8.450350631e-05   -2.265873657e-05    4.603780256e-06                  0                  0         1195.02992                6.7
         65          2    0.0004014159543   -9.947504612e-05    2.624082022e-05   -5.421433378e-06                  0                  0         1195.02992                6.7
         70          2   -0.0004052285509    9.892728895e-05   -2.664294852e-05    5.365535259e-06                  0                  0         1195.02992                6.7
         75          2    0.0004555576113   -0.0001142296626    3.019290422e-05   -6.198657845e-06                  0                  0         1195.02992                6.7
         80          2   -0.0004605912299    0.0001135114963   -3.071838891e-05    6.125226544e-06                  0                  0         1195.02992                6.7
#segment       6      13      20       2 QDI                                             
          4          3    0.0005434699046   -7.517942208e-05    3.684934867e-05   -1.248602394e-05                  0                  0               0.15                6.7
          5          3    5.716878361e-05    -6.70714077e-06     3.52909852e-06   -1.225240874e-06                  0                  0               0.15                6.7
          9          3     -0.00055178448    7.302002457e-05   -3.768085923e-05    1.247373274e-05                  0                  0               0.15                6.7
         10          3   -5.724627796e-05    6.686531826e-06   -3.537380008e-06    1.225157605e-06                  0                  0               0.15                6.7
         14          3    0.0009202221606   -0.0001949933316     8.48656286e-05   -2.630445965e-05                  0                  0               0.15                6.7
         15          3    0.0001141131117   -1.347848209e-05    7.061560056e-06   -2.451966688e-06                  0                  0               0.15                6.7
         19          3   -0.0009606320205    0.0001852283162   -8.818074275e-05    2.620226217e-05                  0                  0               0.15                6.7
         20          3   -0.0001144237768    1.339593073e-05   -7.094691149e-06    2.451628926e-06                  0                  0               0.15                6.7
         25          3    0.0001706850288   -2.035767899e-05    1.060903793e-05   -3.681580166e-06                  0                  0               0.15                6.7
         30          3   -0.0001713865735     2.01714847e-05   -1.068360174e-05    3.680802558e-06                  0                  0               0.15                6.7
         35          3    0.0002267352432   -2.738837245e-05    1.418320814e-05   -4.915481394e-06                  0                  0               0.15                6.7
         40          3   -0.0002279888023    2.705622818e-05   -1.431581204e-05    4.914054959e-06                  0                  0               0.15                6.7
         45          3    0.0002821128256   -3.461412703e-05    1.779578465e-05   -6.155064083e-06                  0                  0               0.15                6.7
         50          3   -0.0002840842867    3.409288364e-05   -1.800306726e-05    6.152746494e-06                  0                  0               0.15                6.7
         55          3    0.0003366648539   -4.207835616e-05    2.145853415e-05    -7.40171169e-06                  0                  0               0.15                6.7
         60          3   -0.0003395262668    4.132378892e-05   -2.175717047e-05    7.398217316e-06                  0                  0               0.15                6.7
         65          3    0.0003902360573   -4.982426632e-05    2.518329194e-05   -8.656793284e-06                  0                  0               0.15                6.7
         70          3   -0.0003941670563    4.879084682e-05   -2.558999556e-05    8.651783011e-06                  0                  0               0.15                6.7
         75          3    0.0004426685132   -5.789477441e-05    2.898197819e-05   -9.921659253e-06                  0                  0               0.15                6.7
         80          3   -0.0004478576991      5.6535455e-05   -2.951349942e-05    9.914729724e-06                  0                  0               0.15                6.7
#segment       7      13      20    2550 end                                             
          4          3   -0.0001164464696     0.000172042203    1.872306639e-05    8.190326316e-06                  0                  0         1195.02992                6.7
          5          3   -1.563022986e-05    1.704708314e-05    2.180257407e-06    8.094863972e-07                  0                  0         1195.02992                6.7
          9          3    0.0001114261299   -0.0001730771402   -1.831164042e-05   -8.211648882e-06                  0                  0         1195.02992                6.7
         10          3    1.557257998e-05   -1.705703988e-05   -2.176158664e-06    -8.09656292e-07                  0                  0         1195.02992                6.7
         14          3    2.786976953e-05     0.000350625325    1.625251374e-05    1.675526423e-05                  0                  0         1195.02992                6.7
         15          3   -3.106423746e-05    3.409763383e-05    4.345268158e-06    1.619480845e-06                  0                  0         1195.02992                6.7
         19          3   -3.916471458e-05    -0.000355423338   -1.451875446e-05   -1.690084563e-05                  0                  0         1195.02992                6.7
         20          3    3.083458762e-05   -3.413749957e-05   -4.328873344e-06   -1.620165471e-06                  0                  0         1195.02992                6.7
         25          3   -4.604692356e-05    5.116480839e-05    6.475595775e-06    2.430647786e-06                  0                  0         1195.02992                6.7
         30          3    4.553363979e-05   -5.125466241e-05   -6.438707254e-06   -2.432207155e-06                  0                  0         1195.02992                6.7
         35          3   -6.032160741e-05    6.826125969e-05    8.551622551e-06    3.243629436e-06                  0                  0         1195.02992                6.7
         40          3    5.941759081e-05   -6.842140527e-05   -8.486039829e-06   -3.246449096e-06                  0                  0         1195.02992                6.7
         45          3   -7.362969331e-05     8.53989119e-05    1.055345816e-05    4.059036604e-06                  0                  0         1195.02992                6.7
         50          3    7.223415535e-05   -8.564996989e-05   -1.045097284e-05   -4.063538322e-06                  0                  0         1195.02992                6.7
         55          3   -8.571036663e-05     0.000102588724    1.246084945e-05     4.87743892e-06                  0                  0         1195.02992                6.7
         60          3    8.373061473e-05   -0.0001029517464   -1.231323528e-05   -4.884091822e-06                  0                  0         1195.02992                6.7
         65          3   -9.630021912e-05    0.0001198404634    1.425308884e-05    5.699354189e-06                  0                  0         1195.02992                6.7
         70          3    9.365344943e-05   -0.0001203370684   -1.405208651e-05    -5.70868654e-06                  0                  0         1195.02992                6.7
         75          3   -0.0001051330287    0.0001371624741    1.590892281e-05    6.525236819e-06                  0                  0         1195.02992                6.7
         80          3     0.000101748006   -0.0001378149822    -1.56462173e-05   -6.537848373e-06                  0                  0         1195.02992                6.7
#segment       8      13      20       2 QDI                                             
          4          4    -9.16579457e-05    0.0001589903237    1.977161987e-05     5.76842423e-06                  0                  0               0.15                6.7
          5          4   -1.321263518e-05    1.523811819e-05    2.280788212e-06    5.288186806e-07                  0                  0               0.15                6.7
          9          4     8.64344991e-05     -0.00016066773   -1.936725281e-05   -5.841072604e-06                  0                  0               0.15                6.7
         10          4    1.315294304e-05   -1.525543438e-05   -2.276753433e-06    -5.29500298e-07                  0                  0               0.15                6.7
         14          4     8.08919294e-05    0.0003574466342    1.860501885e-05    1.456219451e-05                  0                  0               0.15                6.7
         15          4   -2.622667453e-05    3.050446611e-05    4.546549173e-06    1.060050102e-06                  0                  0               0.15                6.7
         19          4   -9.301543255e-05    -0.000363713404    -1.69093389e-05   -1.492353987e-05                  0                  0               0.15                6.7
         20          4    2.598885876e-05   -3.057365033e-05   -4.530410967e-06    -1.06278155e-06                  0                  0               0.15                6.7
         25          4   -3.878263172e-05    4.584447381e-05    6.778128608e-06    1.596786652e-06                  0                  0               0.15                6.7
         30          4    3.825098348e-05   -4.599986381e-05   -6.741820293e-06   -1.602951217e-06                  0                  0               0.15                6.7
         35          4   -5.061949973e-05    6.130326248e-05      8.9561894e-06    2.142121399e-06                  0                  0               0.15                6.7
         40          4    4.968285433e-05   -6.157885058e-05   -8.891645281e-06    -2.15312802e-06                  0                  0               0.15                6.7
         45          4   -6.147444818e-05    7.692545906e-05    1.106111968e-05    2.699150441e-06                  0                  0               0.15                6.7
         50          4    6.002796306e-05   -7.735476288e-05   -1.096027164e-05   -2.716444926e-06                  0                  0               0.15                6.7
         55          4   -7.108255202e-05    9.275499586e-05      1.3072942e-05    3.270974527e-06                  0                  0               0.15                6.7
         60          4    6.902949213e-05   -9.337094785e-05   -1.292771134e-05   -3.296051829e-06                  0                  0               0.15                6.7
         65          4   -7.917644746e-05    0.0001088349292    1.497122103e-05    3.860699977e-06                  0                  0               0.15                6.7
         70          4    7.642997457e-05   -0.0001096697872   -1.477350512e-05   -3.895117778e-06                  0                  0               0.15                6.7
         75          4   -8.548614451e-05    0.0001252072331    1.673497112e-05    4.471438685e-06                  0                  0               0.15                6.7
         80          4    8.197099251e-05   -0.0001262925059   -1.647662285e-05   -4.516832458e-06                  0                  0               0.15                6.7
#segment       9      13      20    2550 end                                             
          4          4   -0.0003615233085   -0.0001625628752   -6.981193594e-05   -5.965689286e-06                  0                  0         1195.02992                6.7
          5          4   -3.094845126e-05   -1.642143529e-05   -7.286519089e-06   -5.675525174e-07                  0                  0         1195.02992                6.7
          9          4    0.0003630145235    0.0001614900064    6.983763228e-05    6.074773466e-06                  0                  0         1195.02992                6.7
